,Recall,Precision,Accuracy,F1-Score
0,1.0,0.964891721491228,0.9297834429824562,0.9821322070194651
1,1.0,0.9593009868421053,0.9186019736842105,0.9792277891803183
2,1.0,0.9603686951754385,0.9207373903508772,0.9797837493926036
3,1.0,0.9642420504385965,0.928484100877193,0.9817955482862109
4,1.0,0.9599287280701755,0.9198574561403509,0.9795547300491482
5,1.0,0.9591940789473684,0.9183881578947368,0.979172088415786
6,1.0,0.9618037280701754,0.9236074561403509,0.9805300237820436
7,1.0,0.9686334978070176,0.937266995614035,0.9840668655552578
8,1.0,0.9635115131578947,0.9270230263157895,0.9814167186708158
9,1.0,0.9638555372807017,0.9277110745614036,0.9815951519685879
10,1.0,0.9608004385964912,0.9216008771929824,0.9800083880889138
11,1.0,0.9610293311403508,0.9220586622807018,0.9801274421341839
12,1.0,0.959078947368421,0.9181578947368421,0.9791120961783868
13,1.0,0.9667077850877193,0.9334155701754386,0.9830721090521356
14,1.0,0.9691858552631579,0.9383717105263157,0.984351835224449
15,1.0,0.9601165021929825,0.9202330043859649,0.9796524860831508
16,1.0,0.9688925438596491,0.9377850877192982,0.9842005312898536
17,1.0,0.9697299890350877,0.9394599780701754,0.9846324058965358
18,1.0,0.9635581140350877,0.9271162280701755,0.9814408925794283
19,1.0,0.9670120614035088,0.9340241228070175,0.9832294172243389
