,Recall,Precision,Accuracy,F1-Score
0,1.0,0.9832524671052632,0.9665049342105263,0.991555521461581
1,1.0,0.9803125,0.960625,0.9900583872494871
2,1.0,0.9808388157894737,0.9616776315789474,0.9903267322622162
3,1.0,0.9842105263157894,0.968421052631579,0.9920424403183024
4,1.0,0.9728453947368421,0.9456907894736842,0.9862358168888444
5,1.0,0.9747121710526315,0.9494243421052632,0.9871941697032796
6,1.0,0.9763733552631579,0.9527467105263158,0.9880454547345908
7,1.0,0.9914761513157895,0.982952302631579,0.995719833913864
8,1.0,0.971422697368421,0.9428453947368421,0.9855042235895296
9,1.0,0.9732771381578947,0.9465542763157895,0.9864576235515241
10,1.0,0.9715090460526316,0.9430180921052631,0.9855486567487918
11,1.0,0.9692105263157895,0.9384210526315789,0.9843645596685822
12,1.0,0.974703947368421,0.9494078947368421,0.9871899518582067
13,1.0,0.9805797697368421,0.9611595394736843,0.9901946740242943
14,1.0,0.9790912828947368,0.9581825657894737,0.9894351931687148
15,1.0,0.971015625,0.94203125,0.9852947005430258
16,1.0,0.9911759868421053,0.9823519736842106,0.9955684413551567
17,1.0,0.9884416118421052,0.9768832236842105,0.9941872126950778
18,1.0,0.9740953947368421,0.9481907894736842,0.9868777338054573
19,1.0,0.9746340460526316,0.9492680921052632,0.9871540987566401
