,Recall,Precision,Accuracy,F1-Score
0,0.6442264063136258,1.0,0.6500473022460938,0.7836225033728642
1,0.6332635299246434,1.0,0.6405830383300781,0.7754578710930518
2,0.6775761279152663,1.0,0.6980781555175781,0.8078037313958374
3,0.6577507148234688,1.0,0.6653060913085938,0.7935459884793493
4,0.6446528386941968,1.0,0.6553955078125,0.7839378907539308
5,0.6364122653828606,1.0,0.647369384765625,0.7778140983732647
6,0.6554045038185914,1.0,0.6650505065917969,0.7918360766891018
7,0.6805995771303927,1.0,0.6905479431152344,0.8099485283609433
8,0.6698891770808771,1.0,0.6795654296875,0.8023157300197685
9,0.6635542027992714,1.0,0.6702537536621094,0.7977548332151789
10,0.6224231422472225,1.0,0.6302528381347656,0.7672759664721037
11,0.6639546476395269,1.0,0.672119140625,0.798044163741371
12,0.6227106083632319,1.0,0.6325492858886719,0.7674943457617954
13,0.6640735199829023,1.0,0.6702232360839844,0.7981300249158768
14,0.6939708536277724,1.0,0.6991996765136719,0.8193421417394272
15,0.6571199530745918,1.0,0.6655158996582031,0.793086767020556
16,0.6793528590039397,1.0,0.6882820129394531,0.809065057842434
17,0.6865270111021522,1.0,0.6915206909179688,0.8141310593697566
18,0.6595499334734569,1.0,0.6632499694824219,0.794853978383177
19,0.7094478651458564,1.0,0.7145042419433594,0.8300315904461043
