,Recall,Precision,Accuracy,F1-Score
0,0.704216738878344,1.0,0.7066364288330078,0.8264403497665853
1,0.6948306155790512,1.0,0.6978759765625,0.8199410716234403
2,0.7238637639647059,1.0,0.7326431274414062,0.8398155110585944
3,0.7156514645101938,1.0,0.7187900543212891,0.8342620623292006
4,0.7031042115720917,1.0,0.7075920104980469,0.8256737395101317
5,0.6984883459724084,1.0,0.7030315399169922,0.8224823533569953
6,0.710641261243834,1.0,0.714691162109375,0.8308477964890378
7,0.7322576207609427,1.0,0.7364273071289062,0.8454373206212572
8,0.7227779885560313,1.0,0.7268409729003906,0.83908430843354
9,0.7202062157559318,1.0,0.722991943359375,0.837348695940437
10,0.6877953636104323,1.0,0.6910324096679688,0.8150222218162052
11,0.7194194458979106,1.0,0.7228279113769531,0.8368166913713335
12,0.6875787512658179,1.0,0.6916522979736328,0.814870121764782
13,0.718729366743088,1.0,0.7213039398193359,0.8363496669694387
14,0.7447523994390247,1.0,0.7469329833984375,0.8537055454727888
15,0.713340632476553,1.0,0.7168502807617188,0.8326897978780236
16,0.7290749495152692,1.0,0.7328472137451172,0.8433121418127755
17,0.7369835727689421,1.0,0.7390785217285156,0.8485786328930096
18,0.718258511542098,1.0,0.7197895050048828,0.8360307913126265
19,0.7566679365665755,1.0,0.7587852478027344,0.8614808989403999
