epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.3484730124473572,0.2145165055990219,0.6515269875526428,1e-04,0.44313669204711914,0.6200248599052429,0.1402295082807541,0.07542334496974945,0.8597704768180847,0.00022610793530475348,2.682842477952363e-06
1,0.5176329016685486,0.34988823533058167,0.48236706852912903,1e-04,0.7980849742889404,0.44842156767845154,0.11422181129455566,0.06058105081319809,0.8857782483100891,0.0,0.0
2,0.570347249507904,0.39945676922798157,0.4296526312828064,1e-04,0.8507612943649292,0.43338125944137573,0.08766850084066391,0.0458480603992939,0.9123314619064331,0.04987212270498276,6.975389987928793e-05
3,0.6031368374824524,0.4322793185710907,0.39686325192451477,1e-04,0.8760263323783875,0.4270641505718231,0.06623218953609467,0.034256838262081146,0.9337677955627441,0.07779143750667572,0.0052628424018621445
4,0.6321039199829102,0.4625442624092102,0.36789610981941223,1e-04,0.8986681699752808,0.42362478375434875,0.09885366261005402,0.052100442349910736,0.9011462926864624,0.22005659341812134,0.02719060704112053
5,0.6567142605781555,0.4892949163913727,0.3432856500148773,1e-04,0.9149793982505798,0.42214545607566833,0.23776085674762726,0.13542811572551727,0.7622391581535339,0.46852320432662964,0.08434588462114334
6,0.6755841970443726,0.5104603171348572,0.3244157135486603,1e-04,0.9252598881721497,0.41948139667510986,0.4014148712158203,0.2518443167209625,0.5985850691795349,0.5720005035400391,0.18640835583209991
7,0.6929659247398376,0.5305651426315308,0.30703386664390564,1e-04,0.9341512322425842,0.41809454560279846,0.5247515439987183,0.3566109538078308,0.47524842619895935,0.830328643321991,0.21797022223472595
8,0.7083893418312073,0.5488100647926331,0.2916107773780823,1e-04,0.9410644173622131,0.41705265641212463,0.6279330849647522,0.45848020911216736,0.3720669150352478,0.9540694952011108,0.2794949412345886
9,0.7197526693344116,0.562579333782196,0.2802472412586212,1e-04,0.944419801235199,0.4162253439426422,0.6708669662475586,0.5053377151489258,0.3291330933570862,0.9604153633117676,0.3168025612831116
10,0.7313926219940186,0.5769039392471313,0.26860731840133667,1e-04,0.9491873383522034,0.41547051072120667,0.6960123777389526,0.534083366394043,0.30398762226104736,0.9641709327697754,0.3417520821094513
11,0.7423085570335388,0.5905893445014954,0.2576914131641388,1e-04,0.9539398550987244,0.4145067036151886,0.7044872641563416,0.5442236661911011,0.29551270604133606,0.963840663433075,0.34707218408584595
12,0.751848042011261,0.6027200222015381,0.24815209209918976,1e-04,0.9573915600776672,0.41428694128990173,0.7154025435447693,0.5571542978286743,0.2845974564552307,0.9541774392127991,0.36921635270118713
13,0.7581401467323303,0.6108989715576172,0.24185992777347565,1e-04,0.9592585563659668,0.41241833567619324,0.7186721563339233,0.5610700249671936,0.2813277542591095,0.9440232515335083,0.3810378611087799
14,0.7646788954734802,0.6193808317184448,0.23532114923000336,1e-04,0.9616193175315857,0.411363422870636,0.7293155193328857,0.5741125345230103,0.27068445086479187,0.9458452463150024,0.3803108036518097
15,0.7727844715118408,0.6300631761550903,0.22721554338932037,1e-04,0.9647458791732788,0.41196209192276,0.7230137586593628,0.5664216876029968,0.2769862711429596,0.949997067451477,0.3632524013519287
16,0.7797396779060364,0.6393448114395142,0.22026021778583527,1e-04,0.9671213030815125,0.41221383213996887,0.732431948184967,0.5780137777328491,0.26756808161735535,0.9497426748275757,0.371676504611969
17,0.7833278775215149,0.6441718935966492,0.21667218208312988,1e-04,0.9674819111824036,0.41203778982162476,0.7352474331855774,0.5815669894218445,0.2647525668144226,0.9555233120918274,0.3649980425834656
18,0.7879136204719543,0.6504446268081665,0.212086483836174,1e-04,0.9691710472106934,0.4109618365764618,0.73525071144104,0.581591010093689,0.2647492587566376,0.9498251080513,0.3669869005680084
19,0.7928416132926941,0.6571241617202759,0.20715837180614471,1e-04,0.9711191058158875,0.41059908270835876,0.73760586977005,0.5846181511878967,0.2623941898345947,0.9568701982498169,0.36043986678123474
20,0.7979382872581482,0.664143979549408,0.20206160843372345,1e-04,0.9729650020599365,0.4117898941040039,0.7376685738563538,0.584760308265686,0.26233142614364624,0.9543036818504333,0.35527002811431885
21,0.8035585880279541,0.6719827651977539,0.1964413821697235,1e-04,0.9757061004638672,0.4106939136981964,0.739733099937439,0.5872810482978821,0.2602669298648834,0.9493986368179321,0.3637469410896301
22,0.8086408972740173,0.6791188716888428,0.19135898351669312,1e-04,0.9774571657180786,0.4111091196537018,0.7465486526489258,0.5958151817321777,0.253451406955719,0.9495412111282349,0.37135905027389526
23,0.8119140863418579,0.6837311387062073,0.18808583915233612,1e-04,0.9784350991249084,0.41129612922668457,0.7329264879226685,0.5787600874900818,0.2670735716819763,0.9553351998329163,0.3441469669342041
24,0.8133268356323242,0.6857269406318665,0.18667320907115936,1e-04,0.9787185192108154,0.4105907678604126,0.7419258952140808,0.5900470018386841,0.2580740749835968,0.9546288251876831,0.3517662584781647
25,0.8146762251853943,0.687669038772583,0.1853238046169281,1e-04,0.9787827134132385,0.410102516412735,0.7478436827659607,0.5975512266159058,0.25215625762939453,0.954750657081604,0.3604568839073181
26,0.8170598745346069,0.6910139918327332,0.18293996155261993,1e-04,0.9797848463058472,0.40934839844703674,0.7458416223526001,0.5950022339820862,0.2541584372520447,0.9491667747497559,0.36169901490211487
27,0.8160819411277771,0.6896483898162842,0.18391817808151245,1e-04,0.978365421295166,0.4096745550632477,0.7377328872680664,0.5847405791282654,0.26226702332496643,0.9507098197937012,0.3476516604423523
